company,notes,contacts
Adelphia Poultry Ltd.,"Address: 61 Torlake Cres , Toronto, Ontario, Canada, M8Z1B4
Phone: not found
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Meat / protein processing
Proof: Listed in the CFIA Safe Food for Canadians licence registry under ADELPHIA POULTRY LTD..
CFIA source: licence 7G386KXL; legal name ADELPHIA POULTRY LTD.; 61 Torlake Cres , Toronto, Ontario, Canada, M8Z1B4
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
ADM DAIRY INC.,"Address: 69 WESTMORE DRIVE UNIT 3, ETOBICOKE, Ontario, Canada, M9V3Y6
Website: https://www.admdairy.com
Phone: not found
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Dairy / cheese / creamery | ADM Dairy, ADM Dairy INC.
Proof: Listed in the CFIA Safe Food for Canadians licence registry under ADM DAIRY INC..
CFIA source: licence 7DYM98B6; legal name ADM DAIRY INC.; 69 WESTMORE DRIVE UNIT 3, ETOBICOKE, Ontario, Canada, M9V3Y6
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
ADP Direct Poultry Ltd. and Premium Meats,"Address: 4-250 Summerlea Rd , Brampton, Ontario, Canada, L6T3V6
Phone: not found
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Meat / protein processing
Proof: Listed in the CFIA Safe Food for Canadians licence registry under 2344959 Ontario Inc..
CFIA source: licence 6NPR4DKX; legal name 2344959 Ontario Inc.; 4-250 Summerlea Rd , Brampton, Ontario, Canada, L6T3V6
CRM: not found in current CRM name baseline",Carlos Godinho - Director of Operations | LinkedIn: https://ca.linkedin.com/in/carlos-godinho-3aa61a113
Amelie's Chocolate & Patisserie Inc.,"Address: 74 Crockford Blvd Unit 3, Scarborough, Ontario, Canada, M1R3C3
Phone: not found
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Snacks / confectionery
Proof: Listed in the CFIA Safe Food for Canadians licence registry under Amelie's Chocolate & Patisserie Inc..
CFIA source: licence 3LCNC7WM; legal name Amelie's Chocolate & Patisserie Inc.; 74 Crockford Blvd Unit 3, Scarborough, Ontario, Canada, M1R3C3
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
AMSTERDAM BREWING CO. LIMITED,"Address: 2-45 Esandar Dr , Toronto, Ontario, Canada, M4G4C5
Website: https://amsterdambeer.com
Phone: not found
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Beverages / brewing / coffee | BUY BEER, 3 Speed Lager, Blonde Lager, Boneshaker IPA, Space Invader IPA
Proof: Listed in the CFIA Safe Food for Canadians licence registry under AMSTERDAM BREWING CO. LIMITED.
CFIA source: licence 7Y9TNGXM; legal name AMSTERDAM BREWING CO. LIMITED; 2-45 Esandar Dr , Toronto, Ontario, Canada, M4G4C5
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
Apex Nutrition Inc.,"Address: 19-20 Maritime Ontario Blvd , Brampton, Ontario, Canada, L6S0E7
Website: https://apexnutrition.ca
Phone: not found
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Food processing / licensed food handling
Proof: Listed in the CFIA Safe Food for Canadians licence registry under Apex Nutrition Inc..
CFIA source: licence 6VHKM9LM; legal name Apex Nutrition Inc.; 19-20 Maritime Ontario Blvd , Brampton, Ontario, Canada, L6S0E7
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
Arto Bakery,"Address: 1117 O'Connor Dr , East York, Ontario, Canada, M4B2T5
Website: https://artobakery.ca
Phone: (437) 991-2155
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Bakery / baked goods | Arto Bakery, BAKERY, BREAD, bakery, Arto Bakery was built on creating excellent baked goods,, enjoy the best of Greek and European pastries, bread,
Proof: Listed in the CFIA Safe Food for Canadians licence registry under 2638717 ONTARIO CORP..
CFIA source: licence 3PN9YH7F; legal name 2638717 ONTARIO CORP.; 1117 O'Connor Dr , East York, Ontario, Canada, M4B2T5
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
Arvinda's,"Address: 47-3176 Ridgeway Dr , Mississauga, Ontario, Canada, L5L5S6
Website: https://www.arvindas.com
Phone: not found
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Sauces / spices / dressings | Arvinda's in Canada, supporting Canadian farmers by using local ingredients OUR VALUES Global spice blends for everyday
Proof: Listed in the CFIA Safe Food for Canadians licence registry under Lotasa Spice Enterprises Ltd..
CFIA source: licence 6HP3JRTJ; legal name Lotasa Spice Enterprises Ltd.; 47-3176 Ridgeway Dr , Mississauga, Ontario, Canada, L5L5S6
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
As We Do Chocolate Company Inc.,"Address: 15 St Leonard's Cres , Toronto, Ontario, Canada, M4N3A5
Phone: not found
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Snacks / confectionery
Proof: Listed in the CFIA Safe Food for Canadians licence registry under As We Do Chocolate Company Inc..
CFIA source: licence 4HNB76HN; legal name As We Do Chocolate Company Inc.; 15 St Leonard's Cres , Toronto, Ontario, Canada, M4N3A5
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
Atlas Food And Beverage Inc.,"Address: 6-945 Wilson Ave , North York, Ontario, Canada, M3K1E8
Phone: not found
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Beverages / brewing / coffee
Proof: Listed in the CFIA Safe Food for Canadians licence registry under Atlas Food And Beverage Inc..
CFIA source: licence 8NTXX9FJ; legal name Atlas Food And Beverage Inc.; 6-945 Wilson Ave , North York, Ontario, Canada, M3K1E8
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
AXE HOT SAUCE,"Address: 17B Cosmo Rd , Etobicoke, Ontario, Canada, M8X1Z3
Phone: not found
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Sauces / spices / dressings
Proof: Listed in the CFIA Safe Food for Canadians licence registry under Atkinson Properties Inc..
CFIA source: licence 4XLGCR33; legal name Atkinson Properties Inc.; 17B Cosmo Rd , Etobicoke, Ontario, Canada, M8X1Z3
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
Bagos Bun Bakery ULC,"Address: 8 Atlas Crt , Brampton, Ontario, Canada, L6T5C1
Phone: not found
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Bakery / baked goods
Proof: Listed in the CFIA Safe Food for Canadians licence registry under Bagos Bun Bakery ULC.
CFIA source: licence 4T4YLMB7; legal name Bagos Bun Bakery ULC; 8 Atlas Crt , Brampton, Ontario, Canada, L6T5C1
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
Baker's Pantry Ltd.,"Address: 861 Fenmar Dr , North York, Ontario, Canada, M9L1C8
Phone: not found
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Bakery / baked goods
Proof: Listed in the CFIA Safe Food for Canadians licence registry under Baker's Pantry Ltd..
CFIA source: licence 4JY9R49G; legal name Baker's Pantry Ltd.; 861 Fenmar Dr , North York, Ontario, Canada, M9L1C8
CRM: not found in current CRM name baseline",Basilio Petrolo - Owner | LinkedIn: https://ca.linkedin.com/in/basilio-petrolo-b8891a117
BAKERY BARN LLC and SONOMA NUTRACEUTICALS INC.,"Address: 200-55 Village Centre Pl , Mississauga, Ontario, Canada, L4Z1V9
Phone: not found
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Bakery / baked goods
Proof: Listed in the CFIA Safe Food for Canadians licence registry under GNC Canada Holdings ULC.
CFIA source: licence 7XM4P6DJ; legal name GNC Canada Holdings ULC; 200-55 Village Centre Pl , Mississauga, Ontario, Canada, L4Z1V9
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
Beverage World Inc,"Address: 590 South Service Rd , Stoney Creek, Ontario, Canada, l8e2w1
Phone: not found
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Beverages / brewing / coffee
Proof: Listed in the CFIA Safe Food for Canadians licence registry under Beverage World Inc.
CFIA source: licence 6NTL7NFN; legal name Beverage World Inc; 590 South Service Rd , Stoney Creek, Ontario, Canada, l8e2w1
CRM: not found in current CRM name baseline",Brian Perkins - President | LinkedIn: https://ca.linkedin.com/in/brianrussellperkins
Blood Brothers Brewing Inc.,"Address: 165 Geary Ave , Toronto, Ontario, Canada, M6H2B8
Website: https://www.bloodbrothersbrewing.com
Phone: 647-628-6062
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Beverages / brewing / coffee | BEER, FRESH BEER, NEVER MISS A BEER DROP!, THE FRESHEST BEER
Proof: Listed in the CFIA Safe Food for Canadians licence registry under Blood Brothers Brewing Inc..
CFIA source: licence 4MKLBBJJ; legal name Blood Brothers Brewing Inc.; 165 Geary Ave , Toronto, Ontario, Canada, M6H2B8
CRM: not found in current CRM name baseline",Patrick Howell - Operations Manager | LinkedIn: https://ca.linkedin.com/in/patrick-howell-79b9162b
BLUE DANUBE SAUSAGE HOUSE LIMITED,"Address: 3090 Lenworth Dr , Mississauga, Ontario, Canada, L4X2G1
Phone: not found
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Meat / protein processing
Proof: Listed in the CFIA Safe Food for Canadians licence registry under BLUE DANUBE SAUSAGE HOUSE LIMITED.
CFIA source: licence 9G4FNXGX; legal name BLUE DANUBE SAUSAGE HOUSE LIMITED; 3090 Lenworth Dr , Mississauga, Ontario, Canada, L4X2G1
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
British Pride Bakery inc.,"Address: 25 Struck Crt Units 1 and 4, Cambridge, Ontario, Canada, N1R8L2
Website: https://www.britishpridebakery.com
Phone: 1 800-398-9979
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Bakery / baked goods | traditional British favourites every single day, from handcrafted meat pies and Cornish pasties to sausage rolls, pork p
Proof: Listed in the CFIA Safe Food for Canadians licence registry under British Pride Bakery inc..
CFIA source: licence 4MTPFRP8; legal name British Pride Bakery inc.; 25 Struck Crt Units 1 and 4, Cambridge, Ontario, Canada, N1R8L2
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
BRUST BEVERAGE COMPANY LTD.,"Address: 415-220 Duncan Mill Rd , North York, Ontario, Canada, M3B3J5
Website: https://www.brustbeverages.com
Phone: not found
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Beverages / brewing / coffee | Protein Coffee - brüst, Dark Roast, Original Light Roast, Coffee that works, COLD BREW COFFEE, Light Roast
Proof: Listed in the CFIA Safe Food for Canadians licence registry under BRUST BEVERAGE COMPANY LTD..
CFIA source: licence 3GKGRCRJ; legal name BRUST BEVERAGE COMPANY LTD.; 415-220 Duncan Mill Rd , North York, Ontario, Canada, M3B3J5
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
Bustani Chocolate INC.,"Address: 427 Hobbs Cres , Milton, Ontario, Canada, L9T0J1
Phone: not found
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Snacks / confectionery
Proof: Listed in the CFIA Safe Food for Canadians licence registry under Bustani Chocolate INC..
CFIA source: licence 8F7RM94H; legal name Bustani Chocolate INC.; 427 Hobbs Cres , Milton, Ontario, Canada, L9T0J1
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
CANADIAN AGRO NUTRITION INC.,"Address: 115 McMahon Dr , North York, Ontario, Canada, M2K0E3
Phone: not found
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Food processing / licensed food handling
Proof: Listed in the CFIA Safe Food for Canadians licence registry under CANADIAN AGRO NUTRITION INC..
CFIA source: licence 7FDC76YD; legal name CANADIAN AGRO NUTRITION INC.; 115 McMahon Dr , North York, Ontario, Canada, M2K0E3
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
Candy Catchers Inc.,"Address: 8- 265 Rimrock Rd , Toronto, Ontario, Canada, M6A2B7
Phone: not found
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Snacks / confectionery
Proof: Listed in the CFIA Safe Food for Canadians licence registry under Candy Catchers Inc..
CFIA source: licence 6G43RC9V; legal name Candy Catchers Inc.; 8- 265 Rimrock Rd , Toronto, Ontario, Canada, M6A2B7
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
Candy Floss Land Ltd.,"Address: 1 Whitmore Rd Unit 18, Woodbridge, Ontario, Canada, L4L8G4
Phone: not found
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Snacks / confectionery
Proof: Listed in the CFIA Safe Food for Canadians licence registry under Candy Floss Land Ltd..
CFIA source: licence 6RMNNBVC; legal name Candy Floss Land Ltd.; 1 Whitmore Rd Unit 18, Woodbridge, Ontario, Canada, L4L8G4
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
Cedar Bakery & Foods Canada Inc.,"Address: 18 Dundalk Cres , Brampton, Ontario, Canada, L6Z2V4
Phone: not found
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Bakery / baked goods
Proof: Listed in the CFIA Safe Food for Canadians licence registry under Cedar Bakery & Foods Canada Inc..
CFIA source: licence 4KPX37XL; legal name Cedar Bakery & Foods Canada Inc.; 18 Dundalk Cres , Brampton, Ontario, Canada, L6Z2V4
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
CHARLES FARAM BREWING SUPPLIES INC.,"Address: 136 Skyway Ave , Etobicoke, Ontario, Canada, M9W4Y9
Phone: not found
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Beverages / brewing / coffee
Proof: Listed in the CFIA Safe Food for Canadians licence registry under CHARLES FARAM BREWING SUPPLIES INC..
CFIA source: licence 6WNKDXPM; legal name CHARLES FARAM BREWING SUPPLIES INC.; 136 Skyway Ave , Etobicoke, Ontario, Canada, M9W4Y9
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
CHEESE BOUTIQUE LTD,"Address: 45 Ripley Ave , Toronto, Ontario, Canada, M6S3P2
Phone: not found
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Dairy / cheese / creamery
Proof: Listed in the CFIA Safe Food for Canadians licence registry under CHEESE BOUTIQUE LTD.
CFIA source: licence 6GGDYYKJ; legal name CHEESE BOUTIQUE LTD; 45 Ripley Ave , Toronto, Ontario, Canada, M6S3P2
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
Chocolate Charm Limited,"Address: 3541 Bathurst St , Toronto, Ontario, Canada, M6A2C7
Phone: not found
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Snacks / confectionery
Proof: Listed in the CFIA Safe Food for Canadians licence registry under Chocolate Charm Limited.
CFIA source: licence 3LN487KV; legal name Chocolate Charm Limited; 3541 Bathurst St , Toronto, Ontario, Canada, M6A2C7
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
CN FROZEN FOODS CANADA INC.,"Address: 904-40 University Ave , Toronto, Ontario, Canada, M5J1T1
Phone: not found
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Frozen / prepared foods
Proof: Listed in the CFIA Safe Food for Canadians licence registry under CN FROZEN FOODS CANADA INC..
CFIA source: licence 9WHGCTCK; legal name CN FROZEN FOODS CANADA INC.; 904-40 University Ave , Toronto, Ontario, Canada, M5J1T1
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
3G Print Group Inc,"Address: 9225 Leslie Street 5, Richmond Hill, Ontario, Canada, L4B 3H6
Phone: not found
Email: not found
End product/capability: Industrial & Automotive - Printing & Design | Pressure Sensitive Labels, Shrink Sleeves, Flexible Packaging
Ontario Made source: https://supportontariomade.ca/manufacturer/richmond-hill/3g-print-group-inc
CRM: not found in current CRM name baseline","James McLean - Operations Manager | LinkedIn: https://ca.linkedin.com/in/james-mclean-19490041
Gord Van Altena - President | Source: https://www.zoominfo.com/p/Gord-Van-altena/5738577743"
KPM Power Inc,"Address: 700 Kipling Ave 900, Toronto, Ontario, Canada, M8Z5G3
Website: https://www.kpmpower.com
Phone: (647) 424-0012
Email: not found
End product/capability: Industrial & Automotive - Tools & Equipment | Anzen Battery Management Systems
Proof: KPM Power Inc. Is a Toronto based, lithium battery solutions expert, specializing in Battery Management Systems (BMS). KPM Power’s BMS is safe, UL certified, customizable and positioned to be the catalyst to bringing more cleantech products to market.
Ontario Made source: https://supportontariomade.ca/manufacturer/toronto/kpm-power-inc-1
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
Turning Solutions Inc.,"Address: Mississauga, Ontario, Canada
Website: https://www.trnsolutions.ca/
Phone: not found
Email: not found
End product/capability: Industrial & Automotive - Tools & Equipment | Conveyor rollers | Custom conveyor systems | Custom gears
Ontario Made source: https://supportontariomade.ca/manufacturer/mississauga/turning-solutions-inc
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
Newmarket Precast Concrete Products,"Address: 20 Victoria St N, Uxbridge, Ontario, L9P 1N4
Website: https://newmarketprecast.com
Phone: 905-852-6111
Email: not found
End product/capability: Construction & Renovations - Home Renovations | Model 3600 L Septic Tank | delivered where I want them
Proof: Newmarket Pre-Cast is recognized as an industry leader in the precast tank industry. Shipping tanks all over Ontario and even into the Prairies, Maritimes and Quebec.
Ontario Made source: https://supportontariomade.ca/manufacturer/uxbridge/newmarket-precast-concrete-products
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
DAHL VALVE LIMITED,"Address: 2600 South Sheridan Way, Mississauga, Ontario, Canada, L5J 2M4
Website: https://dahlvalve.com
Phone: 800-268-5355
Email: not found
End product/capability: Construction & Renovations - Supplies | All Round strapping | dahl mini-ball valves | Globe Stops | them use anything else
Proof: An Industry Leader for Over 70 Years dahl is a proudly Canadian manufacturer specializing in premium-quality plumbing valves and fittings, with production based in Ontario. For over 70 years, we’ve been committed to delivering innovative solutions that meet the highest standards of reliability an...
Ontario Made source: https://supportontariomade.ca/manufacturer/mississauga/dahl-valve-limited
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
High Reach Inc.,"Address: Oakville, Ontario, Canada, L6L 6L7
Website: https://highreachinc.com
Phone: 905-844-4164
Email: not found
End product/capability: Industrial & Automotive - Tools & Equipment | Orion K140 Forklift Truck
Ontario Made source: https://supportontariomade.ca/manufacturer/oakville/high-reach-inc
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
Magpie of Toronto,"Address: Toronto, Ontario, M6G 1C5
Website: https://www.magpieoftoronto.com
Phone: not found
Email: not found
End product/capability: Home, Office & Garden - Art & Office Supplies | Handcrafted Leather Notebook Cover
Proof: Born and raised in the vibrant city of Toronto, a place I've called home for more than four decades, I've cultivated a deep passion for the art of leather craftsmanship. At the heart of my hobby business lies a collection of unique, meticulously crafted leather journal covers, each a testament to...
Ontario Made source: https://supportontariomade.ca/manufacturer/toronto/magpie-of-toronto
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
Prime Automation,"Address: Waterloo, Ontario, Canada, N2V 1A2
Website: https://www.primeautomation.com
Phone: 1-888-673-5077
Email: not found
End product/capability: Industrial & Automotive - Tools & Equipment | Panel/Machine Builds | informed decisions
Ontario Made source: https://supportontariomade.ca/manufacturer/waterloo/prime-automation
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
